Node,Depth,Value,Alpha,Beta
A2,1,1,-Infinity,1
B6,2,-Infinity,-Infinity,1
A3,3,Infinity,-Infinity,1
B2,4,-Infinity,-Infinity,1
A2,5,-Infinity,-Infinity,1
A4,5,2,-Infinity,1
A2,5,2,-Infinity,1
B2,4,2,-Infinity,1
A3,3,Infinity,-Infinity,1
B3,4,-Infinity,-Infinity,1
A2,5,-Infinity,-Infinity,1
A4,5,2,-Infinity,1
A2,5,2,-Infinity,1
B3,4,2,-Infinity,1
A3,3,Infinity,-Infinity,1
B4,4,-Infinity,-Infinity,1
A2,5,-Infinity,-Infinity,1
A3,5,9,-Infinity,1
A2,5,9,-Infinity,1
B4,4,9,-Infinity,1
A3,3,Infinity,-Infinity,1
B5,4,-Infinity,-Infinity,1
A2,5,1,-Infinity,1
B5,4,1,-Infinity,1
A3,3,Infinity,-Infinity,1
B6,2,Infinity,-Infinity,1
A2,1,1,-Infinity,1
root,0,1,1,Infinity
A3,1,Infinity,1,Infinity
B2,2,-Infinity,1,Infinity
A2,3,Infinity,1,Infinity
B2,4,-Infinity,1,Infinity
A4,5,2,1,Infinity
B2,4,2,2,Infinity
A5,5,2,2,Infinity
B2,4,2,2,Infinity
A6,5,2,2,Infinity
B2,4,2,2,Infinity
A2,3,2,1,2
B3,4,-Infinity,1,2
A3,5,2,1,2
B3,4,2,1,2
A2,3,2,1,2
B4,4,-Infinity,1,2
A2,5,-Infinity,1,2
A3,5,3,1,2
A2,5,3,1,2
B4,4,3,1,2
A2,3,2,1,2
B5,4,-Infinity,1,2
A2,5,-Infinity,1,2
A3,5,3,1,2
A2,5,3,1,2
B5,4,3,1,2
A2,3,2,1,2
B6,4,-Infinity,1,2
A2,5,-Infinity,1,2
A3,5,4,1,2
A2,5,4,1,2
B6,4,4,1,2
A2,3,2,1,2
B2,2,2,2,Infinity
A4,3,Infinity,2,Infinity
B2,4,-Infinity,2,Infinity
A2,5,2,2,Infinity
B2,4,-Infinity,2,Infinity
A3,5,1,2,Infinity
B2,4,-Infinity,2,Infinity
A5,5,2,2,Infinity
B2,4,-Infinity,2,Infinity
A6,5,2,2,Infinity
B2,4,-Infinity,2,Infinity
A4,3,-Infinity,2,Infinity
B2,2,2,2,Infinity
A5,3,Infinity,2,Infinity
B2,4,-Infinity,2,Infinity
A2,5,2,2,Infinity
B2,4,-Infinity,2,Infinity
A3,5,1,2,Infinity
B2,4,-Infinity,2,Infinity
A4,5,2,2,Infinity
B2,4,-Infinity,2,Infinity
A6,5,2,2,Infinity
B2,4,-Infinity,2,Infinity
A5,3,-Infinity,2,Infinity
B2,2,2,2,Infinity
A6,3,Infinity,2,Infinity
B2,4,-Infinity,2,Infinity
A2,5,10,2,Infinity
B2,4,10,10,Infinity
A3,5,1,10,Infinity
B2,4,10,10,Infinity
A4,5,2,10,Infinity
B2,4,10,10,Infinity
A5,5,2,10,Infinity
B2,4,10,10,Infinity
A6,3,10,2,10
B3,4,-Infinity,2,10
A2,5,1,2,10
B3,4,-Infinity,2,10
A3,5,0,2,10
B3,4,-Infinity,2,10
A4,5,1,2,10
B3,4,-Infinity,2,10
A5,5,1,2,10
B3,4,-Infinity,2,10
A6,5,0,2,10
B3,4,-Infinity,2,10
A6,3,-Infinity,2,10
B2,2,2,2,Infinity
A3,1,2,1,2
B3,2,-Infinity,1,2
A2,3,Infinity,1,2
B2,4,-Infinity,1,2
A4,5,1,1,2
B2,4,-Infinity,1,2
A5,5,1,1,2
B2,4,-Infinity,1,2
A6,5,1,1,2
B2,4,-Infinity,1,2
A2,3,-Infinity,1,2
B3,2,-Infinity,1,2
A4,3,Infinity,1,2
B2,4,-Infinity,1,2
A2,5,1,1,2
B2,4,-Infinity,1,2
A3,5,0,1,2
B2,4,-Infinity,1,2
A5,5,1,1,2
B2,4,-Infinity,1,2
A6,5,1,1,2
B2,4,-Infinity,1,2
A4,3,-Infinity,1,2
B3,2,-Infinity,1,2
A5,3,Infinity,1,2
B2,4,-Infinity,1,2
A2,5,1,1,2
B2,4,-Infinity,1,2
A3,5,0,1,2
B2,4,-Infinity,1,2
A4,5,1,1,2
B2,4,-Infinity,1,2
A5,5,0,1,2
B2,4,-Infinity,1,2
A6,5,1,1,2
B2,4,-Infinity,1,2
A5,3,-Infinity,1,2
B3,2,-Infinity,1,2
A6,3,Infinity,1,2
B2,4,-Infinity,1,2
A2,5,1,1,2
B2,4,-Infinity,1,2
A3,5,0,1,2
B2,4,-Infinity,1,2
A4,5,1,1,2
B2,4,-Infinity,1,2
A5,5,1,1,2
B2,4,-Infinity,1,2
A6,5,0,1,2
B2,4,-Infinity,1,2
A6,3,-Infinity,1,2
B3,2,-Infinity,1,2
A3,1,-Infinity,1,2
root,0,1,1,Infinity
A4,1,Infinity,1,Infinity
B2,2,-Infinity,1,Infinity
A2,3,Infinity,1,Infinity
B2,4,-Infinity,1,Infinity
A3,5,2,1,Infinity
B2,4,2,2,Infinity
A5,5,2,2,Infinity
B2,4,2,2,Infinity
A6,5,2,2,Infinity
B2,4,2,2,Infinity
A2,3,2,1,2
B3,4,-Infinity,1,2
A3,5,1,1,2
B3,4,-Infinity,1,2
A4,5,0,1,2
B3,4,-Infinity,1,2
A5,5,1,1,2
B3,4,-Infinity,1,2
A6,5,1,1,2
B3,4,-Infinity,1,2
A2,3,-Infinity,1,2
B2,2,-Infinity,1,Infinity
A3,3,Infinity,1,Infinity
B2,4,-Infinity,1,Infinity
A2,5,2,1,Infinity
B2,4,2,2,Infinity
A5,5,2,2,Infinity
B2,4,2,2,Infinity
A6,5,2,2,Infinity
B2,4,2,2,Infinity
A3,3,2,1,2
B3,4,-Infinity,1,2
A2,5,1,1,2
B3,4,-Infinity,1,2
A3,5,0,1,2
B3,4,-Infinity,1,2
A4,5,0,1,2
B3,4,-Infinity,1,2
A5,5,1,1,2
B3,4,-Infinity,1,2
A6,5,1,1,2
B3,4,-Infinity,1,2
A3,3,-Infinity,1,2
B2,2,-Infinity,1,Infinity
A5,3,Infinity,1,Infinity
B2,4,-Infinity,1,Infinity
A2,5,2,1,Infinity
B2,4,2,2,Infinity
A3,5,2,2,Infinity
B2,4,2,2,Infinity
A4,5,1,2,Infinity
B2,4,2,2,Infinity
A6,5,2,2,Infinity
B2,4,2,2,Infinity
A5,3,2,1,2
B3,4,-Infinity,1,2
A2,5,1,1,2
B3,4,-Infinity,1,2
A3,5,1,1,2
B3,4,-Infinity,1,2
A4,5,0,1,2
B3,4,-Infinity,1,2
A5,5,0,1,2
B3,4,-Infinity,1,2
A6,5,1,1,2
B3,4,-Infinity,1,2
A5,3,-Infinity,1,2
B2,2,-Infinity,1,Infinity
A6,3,Infinity,1,Infinity
B2,4,-Infinity,1,Infinity
A2,5,10,1,Infinity
B2,4,10,10,Infinity
A3,5,2,10,Infinity
B2,4,10,10,Infinity
A4,5,1,10,Infinity
B2,4,10,10,Infinity
A5,5,2,10,Infinity
B2,4,10,10,Infinity
A6,3,10,1,10
B3,4,-Infinity,1,10
A2,5,1,1,10
B3,4,-Infinity,1,10
A3,5,1,1,10
B3,4,-Infinity,1,10
A4,5,0,1,10
B3,4,-Infinity,1,10
A5,5,1,1,10
B3,4,-Infinity,1,10
A6,5,0,1,10
B3,4,-Infinity,1,10
A6,3,-Infinity,1,10
B2,2,-Infinity,1,Infinity
A4,1,-Infinity,1,Infinity
root,0,1,1,Infinity
A5,1,Infinity,1,Infinity
B2,2,-Infinity,1,Infinity
A2,3,Infinity,1,Infinity
B2,4,-Infinity,1,Infinity
A3,5,2,1,Infinity
B2,4,2,2,Infinity
A4,5,2,2,Infinity
B2,4,2,2,Infinity
A6,5,2,2,Infinity
B2,4,2,2,Infinity
A2,3,2,1,2
B3,4,-Infinity,1,2
A3,5,1,1,2
B3,4,-Infinity,1,2
A4,5,1,1,2
B3,4,-Infinity,1,2
A5,5,0,1,2
B3,4,-Infinity,1,2
A6,5,1,1,2
B3,4,-Infinity,1,2
A2,3,-Infinity,1,2
B2,2,-Infinity,1,Infinity
A3,3,Infinity,1,Infinity
B2,4,-Infinity,1,Infinity
A2,5,2,1,Infinity
B2,4,2,2,Infinity
A4,5,2,2,Infinity
B2,4,2,2,Infinity
A6,5,2,2,Infinity
B2,4,2,2,Infinity
A3,3,2,1,2
B3,4,-Infinity,1,2
A2,5,1,1,2
B3,4,-Infinity,1,2
A4,5,1,1,2
B3,4,-Infinity,1,2
A5,5,0,1,2
B3,4,-Infinity,1,2
A6,5,1,1,2
B3,4,-Infinity,1,2
A3,3,-Infinity,1,2
B2,2,-Infinity,1,Infinity
A4,3,Infinity,1,Infinity
B2,4,-Infinity,1,Infinity
A2,5,2,1,Infinity
B2,4,2,2,Infinity
A3,5,2,2,Infinity
B2,4,2,2,Infinity
A6,5,2,2,Infinity
B2,4,2,2,Infinity
A4,3,2,1,2
B3,4,-Infinity,1,2
A2,5,1,1,2
B3,4,-Infinity,1,2
A3,5,1,1,2
B3,4,-Infinity,1,2
A4,5,0,1,2
B3,4,-Infinity,1,2
A5,5,0,1,2
B3,4,-Infinity,1,2
A6,5,1,1,2
B3,4,-Infinity,1,2
A4,3,-Infinity,1,2
B2,2,-Infinity,1,Infinity
A6,3,Infinity,1,Infinity
B2,4,-Infinity,1,Infinity
A2,5,10,1,Infinity
B2,4,10,10,Infinity
A3,5,2,10,Infinity
B2,4,10,10,Infinity
A4,5,2,10,Infinity
B2,4,10,10,Infinity
A5,5,1,10,Infinity
B2,4,10,10,Infinity
A6,3,10,1,10
B3,4,-Infinity,1,10
A2,5,1,1,10
B3,4,-Infinity,1,10
A3,5,1,1,10
B3,4,-Infinity,1,10
A4,5,1,1,10
B3,4,-Infinity,1,10
A5,5,0,1,10
B3,4,-Infinity,1,10
A6,5,0,1,10
B3,4,-Infinity,1,10
A6,3,-Infinity,1,10
B2,2,-Infinity,1,Infinity
A5,1,-Infinity,1,Infinity
root,0,1,1,Infinity
A6,1,-Infinity,1,Infinity
A2,1,Infinity,1,Infinity
B2,2,-Infinity,1,Infinity
A3,3,Infinity,1,Infinity
B2,4,-Infinity,1,Infinity
A2,5,-Infinity,1,Infinity
A4,5,4,1,Infinity
A2,5,4,4,Infinity
A5,5,4,4,Infinity
A2,5,4,4,Infinity
A6,5,3,4,Infinity
A2,5,4,4,Infinity
B2,4,4,4,Infinity
A4,5,3,4,Infinity
B2,4,4,4,Infinity
A5,5,3,4,Infinity
B2,4,4,4,Infinity
A6,5,2,4,Infinity
B2,4,4,4,Infinity
A3,3,4,1,4
B3,4,-Infinity,1,4
A2,5,-Infinity,1,4
A3,5,4,1,4
A2,5,4,1,4
B3,4,4,1,4
A3,3,4,1,4
B4,4,-Infinity,1,4
A2,5,2,1,4
B4,4,2,2,4
A3,5,1,2,4
B4,4,2,2,4
A4,5,2,2,4
B4,4,2,2,4
A5,5,2,2,4
B4,4,2,2,4
A6,5,1,2,4
B4,4,2,2,4
A3,3,2,1,2
B5,4,-Infinity,1,2
A2,5,2,1,2
B5,4,2,1,2
A3,3,2,1,2
B6,4,-Infinity,1,2
A2,5,2,1,2
B6,4,2,1,2
A3,3,2,1,2
B2,2,2,2,Infinity
A4,3,Infinity,2,Infinity
B2,4,-Infinity,2,Infinity
A2,5,-Infinity,2,Infinity
A3,5,4,2,Infinity
A2,5,4,4,Infinity
A5,5,4,4,Infinity
A2,5,4,4,Infinity
A6,5,3,4,Infinity
A2,5,4,4,Infinity
B2,4,4,4,Infinity
A3,5,3,4,Infinity
B2,4,4,4,Infinity
A5,5,3,4,Infinity
B2,4,4,4,Infinity
A6,5,2,4,Infinity
B2,4,4,4,Infinity
A4,3,4,2,4
B3,4,-Infinity,2,4
A2,5,-Infinity,2,4
A3,5,3,2,4
A2,5,3,3,4
A4,5,2,3,4
A2,5,3,3,4
A5,5,3,3,4
A2,5,3,3,4
A6,5,2,3,4
A2,5,3,3,4
B3,4,3,3,4
A3,5,2,3,4
B3,4,3,3,4
A4,5,1,3,4
B3,4,3,3,4
A5,5,2,3,4
B3,4,3,3,4
A6,5,1,3,4
B3,4,3,3,4
A4,3,3,2,3
B4,4,-Infinity,2,3
A2,5,2,2,3
B4,4,-Infinity,2,3
A3,5,2,2,3
B4,4,-Infinity,2,3
A4,5,1,2,3
B4,4,-Infinity,2,3
A5,5,2,2,3
B4,4,-Infinity,2,3
A6,5,1,2,3
B4,4,-Infinity,2,3
A4,3,-Infinity,2,3
B2,2,2,2,Infinity
A5,3,Infinity,2,Infinity
B2,4,-Infinity,2,Infinity
A2,5,-Infinity,2,Infinity
A3,5,4,2,Infinity
A2,5,4,4,Infinity
A4,5,4,4,Infinity
A2,5,4,4,Infinity
A6,5,11,4,Infinity
A2,5,11,11,Infinity
B2,4,11,11,Infinity
A3,5,3,11,Infinity
B2,4,11,11,Infinity
A4,5,3,11,Infinity
B2,4,11,11,Infinity
A6,5,10,11,Infinity
B2,4,11,11,Infinity
A5,3,11,2,11
B3,4,-Infinity,2,11
A2,5,-Infinity,2,11
A3,5,3,2,11
A2,5,3,3,11
A4,5,3,3,11
A2,5,3,3,11
A5,5,2,3,11
A2,5,3,3,11
A6,5,2,3,11
A2,5,3,3,11
B3,4,3,3,11
A3,5,2,3,11
B3,4,3,3,11
A4,5,2,3,11
B3,4,3,3,11
A5,5,1,3,11
B3,4,3,3,11
A6,5,1,3,11
B3,4,3,3,11
A5,3,3,2,3
B4,4,-Infinity,2,3
A2,5,-Infinity,2,3
A3,5,3,2,3
A2,5,3,2,3
B4,4,3,2,3
A5,3,3,2,3
B5,4,-Infinity,2,3
A2,5,2,2,3
B5,4,-Infinity,2,3
A3,5,2,2,3
B5,4,-Infinity,2,3
A4,5,2,2,3
B5,4,-Infinity,2,3
A5,5,1,2,3
B5,4,-Infinity,2,3
A6,5,1,2,3
B5,4,-Infinity,2,3
A5,3,-Infinity,2,3
B2,2,2,2,Infinity
A6,3,Infinity,2,Infinity
B3,4,-Infinity,2,Infinity
A3,5,1,2,Infinity
B3,4,-Infinity,2,Infinity
A4,5,1,2,Infinity
B3,4,-Infinity,2,Infinity
A5,5,1,2,Infinity
B3,4,-Infinity,2,Infinity
A6,5,0,2,Infinity
B3,4,-Infinity,2,Infinity
A6,3,-Infinity,2,Infinity
B2,2,2,2,Infinity
A2,1,2,1,2
B3,2,-Infinity,1,2
A3,3,Infinity,1,2
B2,4,-Infinity,1,2
A2,5,-Infinity,1,2
A4,5,3,1,2
A2,5,3,1,2
B2,4,3,1,2
A3,3,Infinity,1,2
B3,4,-Infinity,1,2
A2,5,-Infinity,1,2
A4,5,4,1,2
A2,5,4,1,2
B3,4,4,1,2
A3,3,Infinity,1,2
B4,4,-Infinity,1,2
A2,5,2,1,2
B4,4,2,1,2
A3,3,Infinity,1,2
B5,4,-Infinity,1,2
A2,5,2,1,2
B5,4,2,1,2
A3,3,Infinity,1,2
B6,4,-Infinity,1,2
A2,5,2,1,2
B6,4,2,1,2
A3,3,Infinity,1,2
B3,2,Infinity,1,2
A2,1,2,1,2
B4,2,-Infinity,1,2
A3,3,Infinity,1,2
B2,4,-Infinity,1,2
A2,5,-Infinity,1,2
A4,5,3,1,2
A2,5,3,1,2
B2,4,3,1,2
A3,3,Infinity,1,2
B3,4,-Infinity,1,2
A2,5,-Infinity,1,2
A4,5,3,1,2
A2,5,3,1,2
B3,4,3,1,2
A3,3,Infinity,1,2
B4,4,-Infinity,1,2
A2,5,-Infinity,1,2
A4,5,4,1,2
A2,5,4,1,2
B4,4,4,1,2
A3,3,Infinity,1,2
B5,4,-Infinity,1,2
A2,5,2,1,2
B5,4,2,1,2
A3,3,Infinity,1,2
B6,4,-Infinity,1,2
A2,5,2,1,2
B6,4,2,1,2
A3,3,Infinity,1,2
B4,2,Infinity,1,2
A2,1,2,1,2
B5,2,-Infinity,1,2
A3,3,Infinity,1,2
B2,4,-Infinity,1,2
A2,5,-Infinity,1,2
A4,5,3,1,2
A2,5,3,1,2
B2,4,3,1,2
A3,3,Infinity,1,2
B3,4,-Infinity,1,2
A2,5,-Infinity,1,2
A4,5,3,1,2
A2,5,3,1,2
B3,4,3,1,2
A3,3,Infinity,1,2
B4,4,-Infinity,1,2
A2,5,-Infinity,1,2
A3,5,10,1,2
A2,5,10,1,2
B4,4,10,1,2
A3,3,Infinity,1,2
B5,4,-Infinity,1,2
A2,5,-Infinity,1,2
A4,5,4,1,2
A2,5,4,1,2
B5,4,4,1,2
A3,3,Infinity,1,2
B6,4,-Infinity,1,2
A2,5,2,1,2
B6,4,2,1,2
A3,3,Infinity,1,2
B5,2,Infinity,1,2
A2,1,2,1,2
B6,2,-Infinity,1,2
A2,3,-Infinity,1,2
A3,3,Infinity,1,2
B2,4,-Infinity,1,2
A2,5,-Infinity,1,2
A4,5,4,1,2
A2,5,4,1,2
B2,4,4,1,2
A3,3,Infinity,1,2
B3,4,-Infinity,1,2
A2,5,-Infinity,1,2
A4,5,4,1,2
A2,5,4,1,2
B3,4,4,1,2
A3,3,Infinity,1,2
B4,4,-Infinity,1,2
A2,5,-Infinity,1,2
A3,5,11,1,2
A2,5,11,1,2
B4,4,11,1,2
A3,3,Infinity,1,2
B5,4,-Infinity,1,2
A2,5,3,1,2
B5,4,3,1,2
A3,3,Infinity,1,2
B6,4,Infinity,1,2
B2,4,-Infinity,1,2
A2,5,-Infinity,1,2
A4,5,3,1,2
A2,5,3,1,2
B2,4,3,1,2
B6,4,Infinity,1,2
B3,4,-Infinity,1,2
A2,5,-Infinity,1,2
A4,5,3,1,2
A2,5,3,1,2
B3,4,3,1,2
B6,4,Infinity,1,2
B4,4,-Infinity,1,2
A2,5,-Infinity,1,2
A3,5,10,1,2
A2,5,10,1,2
B4,4,10,1,2
B6,4,Infinity,1,2
B5,4,-Infinity,1,2
A2,5,2,1,2
B5,4,2,1,2
B6,4,Infinity,1,2
A3,3,Infinity,1,2
A2,3,Infinity,1,2
B6,2,Infinity,1,2
A2,1,2,1,2
A6,1,2,2,Infinity
A3,1,Infinity,2,Infinity
B2,2,-Infinity,2,Infinity
A2,3,Infinity,2,Infinity
B2,4,-Infinity,2,Infinity
A4,5,3,2,Infinity
B2,4,3,3,Infinity
A5,5,3,3,Infinity
B2,4,3,3,Infinity
A6,5,2,3,Infinity
B2,4,3,3,Infinity
A2,3,3,2,3
B3,4,-Infinity,2,3
A3,5,3,2,3
B3,4,3,2,3
A2,3,3,2,3
B4,4,-Infinity,2,3
A2,5,-Infinity,2,3
A3,5,4,2,3
A2,5,4,2,3
B4,4,4,2,3
A2,3,3,2,3
B5,4,-Infinity,2,3
A2,5,-Infinity,2,3
A3,5,5,2,3
A2,5,5,2,3
B5,4,5,2,3
A2,3,3,2,3
B6,4,-Infinity,2,3
A2,5,-Infinity,2,3
A3,5,5,2,3
A2,5,5,2,3
B6,4,5,2,3
A2,3,3,2,3
B2,2,3,3,Infinity
A4,3,Infinity,3,Infinity
B2,4,-Infinity,3,Infinity
A2,5,3,3,Infinity
B2,4,-Infinity,3,Infinity
A3,5,2,3,Infinity
